lat_center,lon_center,post_count,avg_s_score,avg_class_prob,top_class
-101.475,36.695,1,-0.3182,1.0,0
-99.305,34.655,4,-0.26545,0.75,0
-98.985,35.495,1,0.5023,3.0,0
-98.675,35.535,2,-0.443,1.5,0
-98.425,34.625,10,-0.24887,2.3,0
-98.245,35.075,2,0.0,3.0,0
-97.975,35.525,1,0.0258,3.0,0
-97.955,34.645,2,-0.17635,1.0,1
-97.945,35.035,1,0.4019,2.0,3
-97.905,36.395,3,0.019366666666666643,1.3333333333333333,0
-97.745,35.505,18,-0.3477388888888889,1.8888888888888888,0
-97.725,35.395,5,-0.00452,1.8,0
-97.645,35.515,4,-0.392825,1.25,1
-97.615,35.525,2,-0.28915,3.0,1
-97.555,35.485,630,-0.2943973015873016,2.0761904761904764,1
-97.555,35.565,10,-0.44637,1.6,1
-97.545,35.545,3,0.2857,2.3333333333333335,1
-97.465,35.325,22,-0.10998181818181818,1.6818181818181819,1
-97.455,35.695,39,-0.0854897435897436,2.0,0
-97.445,35.225,54,-0.05034074074074074,2.037037037037037,0
-97.445,35.445,2,-0.2684,3.5,0
-97.385,35.145,1,-0.1531,0.0,0
-97.375,35.015,7,-0.11695714285714284,3.2857142857142856,1
-97.365,35.515,1,0.0,4.0,1
-97.355,35.475,15,-0.16543333333333335,1.7333333333333334,0
-97.335,35.015,1,-0.4767,1.0,1
-97.255,35.465,2,-0.24695,2.5,0
-97.175,35.465,1,-0.5267,3.0,1
-97.135,34.175,2,-0.7401,0.0,0
-97.085,36.125,7,0.13695714285714286,2.5714285714285716,0
-97.065,36.715,4,-0.265175,0.5,0
-96.935,35.345,10,-0.17828,1.5,0
-96.885,35.705,2,0.0054,2.0,2
-96.755,35.975,1,-0.0516,3.0,1
-96.675,34.235,1,0.2732,3.0,2
-96.665,34.775,3,-0.3111333333333333,0.6666666666666666,0
-96.425,33.935,1,-0.3182,2.0,0
-96.395,34.015,2,-0.41325,1.5,0
-96.385,36.435,2,-0.295,3.0,0
-96.345,36.135,1,-0.6486,0.0,0
-96.105,36.005,4,0.1564,2.75,0
-96.065,36.095,1,-0.6597,3.0,0
-95.995,35.445,1,-0.296,1.0,0
-95.975,35.995,4,-0.341525,2.0,0
-95.955,36.745,5,0.0079,2.0,0
-95.915,36.105,152,-0.34766842105263157,1.8355263157894737,1
-95.875,35.965,1,0.9052,2.0,0
-95.815,36.295,3,-0.4371666666666667,2.0,0
-95.775,34.925,1,0.1779,0.0,0
-95.775,36.035,12,-0.01740833333333333,2.0833333333333335,0
-95.775,36.185,2,-0.4393,1.0,1
-95.505,34.005,1,-0.5719,0.0,0
-95.375,35.735,3,-0.5479666666666666,1.0,0
-95.165,36.645,1,0.2263,3.0,0
-95.115,35.255,1,-0.8297,0.0,0
-94.975,35.915,1,-0.6486,0.0,0
-94.745,34.025,1,0.25,2.0,3
-94.635,35.815,3,-0.33393333333333336,2.0,0
-94.625,35.075,1,0.0,0.0,4
-94.605,34.885,1,0.5574,3.0,0
